text,rate
"Вот это удивление, что у меня не было отзыва к этой игре, несмотря на то, что я отыграл в неё больше 4.000 часов на всех моих аккаунтах, а недавно начал выкладыватьвидео из CS:GO.Купил я её еще когда она была платной, но копии игры до сих пор лежат в инвентаре =)Ниже написано о Prime системе, а так коротко о ММ в CS:GO:- Играешь хорошо - лови репорты от тимы против- Играешь плохо - лови репорты от своей тимы- Играешь на первом месте со счетом 20-6 и сливаешь клатч на 16ом раунде, лови - кик от игрока со счетом 2-16- Играешь ночью на бигстаре и ждёшь повышение? - подбор даёт в твоей тиме калашей, а против супримов и глобалов- Ждёшь повышение? - калаши против тебя играют лучше глобалов в прошлой катке- Кинул молотов, где четверо в пати? Лови бан за урон по тиммейтам- Играешь с другом, кинул молотов, где трое в пати? Лови бан за урон по тиммейтам, а друга кик на последнем раунде- Кинул молотов, где двое в пати? Лови бан за урон по тиммейтам- Турки в команде учат тебя играть со счетом 5-20- Четверо в тиме русских? Пятый игрок со счет 3-13 пишет в чат: russians in team - GG- Отошёл от компа на три минуты и просишь взять паузу? - кикнут из игры- Играешь один, тащищь, но тиммейты узнают, что ты русский? - кик на последнем раунде- Опять играешь один и молчишь? - кик, потому что не даёшь инфу- Зашёл поиграть? - а в твоей команде инфу начинают давать только на 14 раунде- Играешь с другом, который в каждой катке отправляет на тебя репорт, чтобы проверить читер ты или нет- Играешь на карте Office за кт и кто-то один на последнем раунде орёт, что 4-11 за кт слив катки.- Выиграл 5 игр на последнем месте, проиграл одну игру на первом? - понижениеПишите свои наблюдения в комментах <3Расскажу о системе Prime и читерах.С добавлением системы Prime читеров стало гораздо меньше. Для тех кто не в курсе: Counter-Strike стала бесплатной, можете купить её и получить сразу Prime или же дойди до 21 уровня и получить его бесплатно. Но учтите, жoпa Ваша будет на no-Prime гореть не по-детски, так там сконцентрировано огромное количество читеров. Благодаря этому игроки, которые купили CS:GO до данного обновления ушли на Prime и играют отдельно. Так же система хороша тем, что если VAC обнаруживает у Вас чит, то кидает к таким же игрокам с Prime. Данная теория уже проверена, так как играл с людьми в пати на беркутах/леммах, где у меня горела жoпa с киллов противников, а в этих играх я делал максимум 15 фрагов за катку, но потом оказалось, что тиммейт был читер, а следовательно и в противоположной команде тоже как минимум один. Их естественно забанил VAC (работает он хорошо, не понимаю почему его многие не любят), мне же при входе в игру написало, что мой тиммейт забанен навсегда на официальных серверах и звание изменено, но так как мы почти все игры проиграли, то звание и не изменилось. Если играть одному и Вы реально играете без читов или другой хpeни для изменения скинов, например, то и кидать Вас будет в хорошие команды, где у людей чаще всего скилл и это видно по игре. Иногда бывает, что люди покупают аккаунты и играют с читами на Prime, кидайте на них репорт, а когда забанит VAC от недели до месяца, то Вам напишет сообщение, что игрок, на которого Вы жаловались был навсегда забанен на официальных серверах сообщества. Не бойтесь кидать репорты, если игрок чист - VAC он не получит. Мой друг, с которым мы играли на протяжении года или дальше больше, каждую игру отправлял репорт на мой аккаунт, а играл я, примерно, с 7 разных аккаунтов, в том числе и с этого.Так что как итог:данную игру я рекомендую людям, которые не любят играть с читами, а использование читов в онлайне - это слабость. Но предупреждаю, если Вы не будете покупать CS:GO, а начнёте играть бесплатно, то терпите до 21 левела, так как почти каждый 3 игрок будет с читами против Вас, как и за Вас.Мои видео по игре:https://steamcommunity.com/id/CybeRage/videosБуду благодарен за лайки, комментарии и подписки:Последнее видео на YouTube:Видео с YouTube™:Competitive. Gold Time #024Просмотров: 1,342Короткое видео из игры Counter Strike: Global Offensive. Основной аккаунт. Звание от DMG (хотя его возможно стоит исключить) и выше.Twitch канал:https://www.twitch.tv/CybeRageTV",Рекомендую
...,Не рекомендую
"Представили eбaлo людей, которые каждый день весь день играют только в одну и ту же игру (при чём заполненную читерами до отказа, несмотря на её незаслуженно высокий статус), горят с неё, сжигают нервные клетки, но продолжают в неё играть, тепля наивную надежду о том, что они попадут в киберспорт?",Не рекомендую
"Рецептик вкусного сливочного пива:молоко – 1 литр;мороженое «Пломбир» – 600 грамм;карамельный соус – 50 мл.Приготовление: взбить все компоненты в блендере до получения однородной густой массы.Если молоко и мороженое можно купить в магазине, то карамельный соус достать сложнее. Проще сделать его в домашних условиях по следующему рецепту:1. Смешать 100 мл воды и 100 грамм сахара.2. Поставить смесь на средний огонь, выпарить одну треть.3. Добавить 2 столовые ложки сливок высокой жирности, 0,5 чайной ложки соли, по щепотке молотого черного перца и корицы.4. Проварить соус 2-3 минуты на слабом огне.5. Дать остыть до комнатной температуры. Карамельный соус для сливочного пива готов.",Рекомендую
"Если сказать коротко, то игра полная cрань и играть в неё точно никому не советую. В игре по сей день большое количество читеров, смурфов, руинеров и прочих отбросов общества, но это не так страшно. Страшно то, что официальные сервера матчмейкинка имеют всё также тикрейт 64, а это значит десинхроны, выстрелы якобы ""на бегу"", стрельба в землю, а на самом деле в небо и прочие прелести. Так что если вы уж хотите играть в эту игру, то лучше это сделать при помощи разных лиг типа faceit, esea и прочих, так как, в основном, лиги имеют 128 тикрейт. Естественно, в лигах лояльнее комьюнити.По поводу прайма - если без прайма читер будет попадаться каждую 2ю игру, то с праймом каждую 5ю. Вот и думайте, полезен он или нет. Античит - такой же, как и игра (полная cрань), если против вас играет 5 человек в пати, то один из них может спокойно бегать с крутилкой и даже не пытаться скрыть это (античиту наплевать, а чтобы попасть в патруль нужно больше 5ти репортов).Разработчики будут делать что угодно (сундуки, новые режимы, новые звуки, новое оружие,  даже игру бесплатной), но ни за что не сделают нормальный античит и играбельный тикрейт. До тех пор игра остаётся хламом.",Не рекомендую
"--- {Графика} ---☐ Навсегда забываешь, что такое реальность☐ Красивая☑️ Хорошо☐ Достойно☐ Плохо☐ Режет глаза--- {Геймплей} ---☐ Превосходит мои ожидания☑️ Хорошо☐ Сойдет☐ Плохо☐ Просто не надо--- {Аудио} ---☐ Уже кончаю от оргазма :3☐ Очень приятно☑️ Хорошо☐ Ну такое...☐ Роняю колонки с небоскрёба!--- {Аудитория} ---☑️ Дети☑️ Подростки☑️ Взрослые☑️ Дауны☑️ ЧИТЕРЫ--- {Требования к ПК} ---☐ Проверьте, можете ли вы запустить марио☐ Картофелина☑️ Достойные☐ Средние☐ Требовальная игрушка☐ Спросите у пришельцев, есть ли у них галактический компьютер--- {Уровень сложности} ---☐ Как два пальца об*ср*ть (легче не придумаешь)☐ Незначительное использование мозга☑️ Легка в обучении / Сложна в освоении!☑️ ГОРИТ, успевай дрова подкидывать :3---{Сюжет}---☑️Что, какой сюжет? -Нет, не слышали!☐ Средний☐ Хорошо☐ Прекрасно☐ Это заменит вашу жизнь--- {Время игры} ---☐ По времени, как съесть печеньку☐ Мало☐ Немного☐ Долго☑️ До бесконечности и дальше...--- {Стоит ли покупать ""Прайм""?} ---☐ Конечно, же стоит! Ёпт, ты что?☐ Если у вас есть свободные деньги.☑️ Проще сжечь деньги, чем потратить на это!",Рекомендую
"Здесь очень хорошие игроки. Они с уважением относятся к вашим родственникам. Узнал много интересного про своих родителей. Мне кажется, что все 4 тиммейта любят мою маму больше чем я сам. Иногда попадаются люди с проблемами позвоночника. Им приходится смотреть вниз при этом бегать по карте. Конечно они раздают фраги жёстко, но мне всё равно жалко таких людей - инвалидов которые родились с заболеванием позвоночника. Бывает, в катку закинет человека, который способен чувствовать противника через стены. Недолго думая мой тиммейт тоже решил овладеть такой способностью. Какая-то Битва Экстрасенсов получается. ЛУЧШЕЕ ВЛОЖЕНИЕ 1230 РУБЛЕЙ... ВСЕМ РЕКОМЕНДУЮ...",Рекомендую
-Читеры;-Школьники;-Смурфы;-Бустеры;-Неадекватные люди;-Неадекватные БАНЫ.#StopIt! #FIXCSGO,Не рекомендую
Вы играли 8736 ч.думаю этим все сказанно ...,Не рекомендую
FIX SMOKE !!!!,Не рекомендую
"Прикольная игра,если не играть.",Рекомендую
⠄⠄⣿⣿⣿⣿⠘⡿⢛⣿⣿⣿⣿⣿⣧⢻⣿⣿⠃⠸⣿⣿⣿⠄⠄⠄⠄⠄⠄⠄⣿⣿⣿⣿⢀⠼⣛⣛⣭⢭⣟⣛⣛⣛⠿⠿⢆⡠⢿⣿⣿⠄⠄⠄⠄⠄⠄⠄⠸⣿⣿⢣⢶⣟⣿⣖⣿⣷⣻⣮⡿⣽⣿⣻⣖⣶⣤⣭⡉⠄⠄⠄⠄⠄⠄⠄⠄⢹⠣⣛⣣⣭⣭⣭⣁⡛⠻⢽⣿⣿⣿⣿⢻⣿⣿⣿⣽⡧⡄⠄⠄⠄⠄⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣶⣌⡛⢿⣽⢘⣿⣷⣿⡻⠏⣛⣀⠄⠄⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⠙⡅⣿⠚⣡⣴⣿⣿⣿⡆⠄⠄⠄⣰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⠄⣱⣾⣿⣿⣿⣿⣿⣿⠄⠄⢀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⠄⠄⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠣⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠛⠑⣿⣮⣝⣛⠿⠿⣿⣿⣿⣿⠄⢠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⠄⠄⠄⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⠄⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠄⠄⠄⠄⢹⣿⣿⣿⣿⣿⣿⣿⣿⠁⠄⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠏⠄⠄⠄⠄⠄⠸⣿⣿⣿⣿⣿⡿⢟⣣⣀,Рекомендую
"Чисто для того, чтобы убить время - сойдёт. Но и, чёрт побери, затягивает. Но хочу отметить особенности, когда каждый второй школьник - глобал, кикнуть могут просто из-за того, что ты умеешь играть. Много арабов, которые делают комплименты и предлагают выйти замуж, если ты девушка. Бесплатная музыка в голосовом чате. В большинстве не очень умные тиммейты. Читеры, которые говорят, что они не читеры. В общем, впечатления неоднозначные.____________________________________________Эта игра разбивает сердца девочкам. Категорически не рекомендую знакомиться с кем-либо тут. -_-",Рекомендую
"Русские есть?Конечно есть, брат, что за вопрос! Почему брат? Это не так важно, потому что уже через минуту, когда вы, опытные рашеры плента Б, ляжете все в темке, вы станете даунами друг для друга на ближайшие 40 минут.Что бы вы уж совсем не думали, что КС:ГО ужасная игра, я сперва перечислю ее плюсы, а их немного. Первый - это два новых режима игры, появившиеся лишь в этой части - ""Уничтожение объекта"" и ""Гонка вооружений"". Второй - ставочки. Благодаря этой ""замечательной"" игре и ее киберспорту я поднял 2300$. Спасибо 322 за это!А теперь перейдем, непосредственно, к минусам. И самый очевидный это, конечно же, матчмейкинг. Признаться, после Доты я думал хуже уже не будет. Но нет, тут все на порядок хуже - начиная от подбора игроков, ""которые соответсвуют вашим игровым навыкам и званию"" и заканчивая самой системой рангов. Чаще всего ваша команда будет выглядеть примерно так: 2-3 русских школьников/шаражников, играющих в пати, и 2-3 поляков/финов/шведов (хотя кто их различает), так же играющих в пати. И как только одни понимают, кем являются другие, вместо инфы в вашем войс-чате начинаются разборки, кто чью мамку в кино водил вчера, а сегодня на чаек пойдет. И каждый на своем языке выражается и ни одному даже и мысль в голову не приходит, что они не понимают друг друга. Если они просто пару раундов поговорили и закинули друг друга в мут, забыв про существование оппонетов в своей команде, то вам несказанно повезло. Иначе, в противном случае, начнутся мини-игры под названием ""заблочь тиммейта"", ""ослепи своих"" и любимая многими ""постреляй или убей союзника"". Как вы понимаете, чаще всего такие игры заведомо проигранны. Но это лишь один случай. Бывают и другие тиммейты, например, все русские или поляки в пати. С клан-тэгом! Тут вы можете даже не ждать инфы, дропа и помощи - на вас просто наср*ть, вы - никто и звать вас никак, юные киберспортсмены уверены, что катку и без вас вытащат. А если вас еще и не кикнули, то это просто чудо! И неважно, что как минимум 1 игрок из такой пати страдает переизбытком хромосом и вероятно раздробленными руками. А еще против вас могут закинуть просто целый клан. Это, конечно, вообще гениально решение от Габена и Ко - рандомы против фул пати  в матчмейкинге .Система рангов здесь, стоит отметить, гениальная. А после последнего апдейта особенно.  В декабре я был лем, а сейчас ГН3. Как же так, спросите вы? А все очень просто. Во-первых, если вы не играете ~месяц в ММ, ваше звание сбрасывается и вам необходимоостдрататьвыиграть 1 калибровочную. Но прежнее звание, как бы вы не отыграли,  вам не дадут. Почему? Да кто ж его, кроме Габена, будь он неладен, знает?! Вот и приходится играть с бомжами на звездах, которые киты покупают раз в 10 раундов, зато авп каждый. Для тех, кто скажет ""Как играешь, такое и звание!"", удалитесь с планеты Земля, пожалуйста - отчего же я не мог подняться год назад на данном аккаунте до калаша, а на твинке с калибровки получил бигстара? Скилл повысился от смены аккаунта? Но больше всего меня интересует почему нет группового матчмейкинга. То есть в Доте до Габена дошло, что некоторых уникомов могут просто забустить его друзья, из-за чего он будет сливать игры тиммейтам в соло, а в КС нет? Ах, да, главное же кейсик новый замутить.И отдельное словечко про коммьюнити. В кс оно всегда было гнилым, но если в 1.6 преемущественно играли взрослые люди, из уст которых мат хотя бы звучал естественно, то здесь же школьники и шаражники, для которых нецензурная лексика является просто средством общения. Но для меня забавнее всего было слушать, как матерится 12-летний ребенок, оказавшийся в итоге 16-летней девушкой. ( ͡° ͜ʖ ͡°) К ней потом, кстати, всю оставшуюуся игру клеились шаражные сверхразумы. Это чтоб вы не думали, что времена обожествления девушки в игре прошли.)Но несмотря на это в кс играют миллионы людей. Почему? Да просто потому что аналогов ей нет. Точнее, они есть, но про них либо не знают, либо такие проекты уже умерли. Лично я бы с радостью сейчас вернулся в CF, но, увы, его времена прошли. Вот и остается наслаждаться тем, что придя с учебы/работы в надежде расслабиться, ты получаешь баттхерт в соревновательном и вместо игрового процесса наслаждаешься визгом малолетних имбецилов. Должно же хоть что-то приносить радость в этой игре, не так ли?Подписка",Не рекомендую
"Всем доброго времени суток!Решил написать мини-обзор на всеми известную Counter-Strike: Global Offensive.Что же это такое?Думаю, все знают первое творение валв в 1999 году под названием Counter-Strike. CS:GO - это та же старая добрая Counter-Strike, но с обновленной графикой, немного изменненым геймплеем, скинамиЗа ♥♥♥ знает сколько денеги небольшими изменениями в целом, такие как матч-мэйкинг и т.д.Сейчас я расскажу вам чем плоха игра, а также о ее хороших сторонах, но хейт, к сожалению, пересилит.Достоинства1) Несколько режимов игры( Соревновательный, гонка вооружений и т.д.)2) Командая игра, с ней же интерес поиграть с друзьями.3) Относительный баланс оружия!Относительный!4) Дроп некоторых вещей, как например кейсы или шерпотрепы ( ͡° ͜ʖ ͡°)Недостатки1) Соревновательный режим.Особое место занимает именно соревновательный режим. Я не буду говорить про ""даунов в тиме"", ""рукозадых Васях Пупкиных из 3 Б"", агресивных поляках, которые начинают орать в чат KURWA, как только слышат русскую речь... НЕТ!Я расскажу именно про насущную проблему. А их две: Читеры, и так называемые смурфы(на жаргоне школьников) или второаккеры. Но о всем по порядку.Читеры. Да-да именно. Читеры занимают огромную, и я бы сказал уже неотемлимую часть CS:GO - и это очень печально. При всем своем уважении к Валв, люди до сих пор испытывают такую проблему. Под словом ""читер"" я не имею ввиду террориста, который на первом раунде купил себе двойные береты и сделал на мидле -5 в голову - нет :)Читы бывает разные, например WAll Hack. Один из самых ""непалевных"" читов в игре. Играешь ты себе на дасте втором и тут чел на 1 месте с авп на миде, в дверях сделал -3. Вроде ничего подозрительного, но после просмотра демки, становится забавным, как этот чел наводиться с авп на голову противника через злоебучую СТЕНКУ!Второаккеры. Очень интересная тема. Все чаще я наблюдаю такую картину: человек решил поиграть мм, заходит он на какой-нибудь даст и понеслась. Играет, отыгрывает неплохо, но вот незадача: человек( а иногда и несколько) играют как-то подозрительно хорошо, лучше во всяком случае своего ранга. Начинаешь думать, читер ли?.. На самом деле все просто: в большинстве случаев, этот т.н. ""второаккер"" - то есть человек, с намеренно превосходящем званием, играет на втором аккаунте, дабы ""понагибать голд нов да калашей"". От сюда идет проблема: невозможность выиграть игру у противополжной команды( поверьте никакой калаш, если он калаш не победит суприма 1 на 1). Из этого исходит испорченная игра, испорченное настроение и, как ни странно, впустую потраченные силы и время! И это начинает происходить так часто, что у многих людей, которые недавно купили CS:GO становится невозможным нормальное повышение званияя уже молчу о бедных сильверах :c.2) Конченное комьюнити.Именно так. Похожий случай, как и с дотой 2. Щкольнички, уже имевшие несколько раз половой контакт с твоими кровными родственниками, различные 18~25-летние индивидуумы, которые играют в кс для поднятия своего ЧСВ и, как ни странно, орущие в микро: "" Я ♥♥♥♥♥ глоболь илит ♥♥♥♥ я имел всех вас в ♥♥♥♥у, идите ♥♥♥♥♥"" Такой способ выражения очень свойственен людям, под кодовым названием быдлоудивительно, не правда ли ( ͡° ͜ʖ ͡°)Итак, надеюсь я дал вам понять, что собственно представляет собой игра и ее комьюнити. Нужно ли играть в нее или нет - решать вам!P.S. Это было моё сугубо личное мнение. А когда у человека есть свое мнение, то это ♥♥♥!Спасибо за внимание.",Не рекомендую
"Играю в ГО из-за цепной реакции. Был популярен 1.6, были чемпы, инвестиции, соответственно играл 1.6. Когда то был мгновенный всплеск Сорса,  соответственно бегал сорс со всеми. И тут так же... Конкретно Cs.go для меня был самым лучшим в начале 2014го года. Механика и баги на картах были более менее исправлены. Но что самое интересное  и крутое скинны тогда только начали вводить. И это было прекрасно, мы тогда не понимали что люди будут так сильно гнаться за пикселями. Иногда кажется что в этой игре половина онлайна из-за скинчиков бегает или барыжит ими как я когда-то. Игра была бы ооочень хороша если бы в настройки добавили кнопку отключения скинов и кастосромации...но это мечты.Игру рекомендуем из-за настольгии по старушке. А это так, пшик. Уровень игроков не то совсем. Уровень про сцены так же... Осталось пару человек с потенциалом...(А для тех кто думает что пару человек это симпл и подобные ему, то нет. Симпл это даже не половина того что требовалось раньше)... Как не как Кс.го всяко лучше форнтайтов пабгов и овервоток, это своего рода радуга на минималках. PointBlank с урезанный динамикой. Но в ней решает твой аим и реакция, а не чувство полета пули по траектории ветра перпендикулярной косой треугольной относительности всех потолков в ПАБге. Твои скил чувство карты и чтение соперника+ чуточку удачи на тиММейтов = 10 лвл на фк  =)   Удачи",Рекомендую
"Кратко о системе званий:• Вы слили три игры подряд? - Понижение.• Вы выиграли семь игр подряд, а затем слили игру? - Понижение.• Ничья? - Понижение.• Вам попались ♥♥♥♥♥♥♥♥♥♥ы в команду? - Понижение.• Ваши друзья думают, что вы шутите о новой системе рангов? - Понижение.• Вас кикнули? - Бан и понижение.• Вам что-то не нравится? - Понижение.• Вы не открываете кейсы? - Понижение.• Вы зарегистрированы в Origin? - Понижение.• Вы выиграли пятнадцать игр подряд? - Кхм... Нууу... Мы подождём, пока вы проиграете.• Вы проиграли? - Понижение.• Вам выпал нож? - Понижение.• Вам не выпал нож? - Понижение.• Вам НЕ нравится новая система рангов? - Понижение.• Вам НРАВИТСЯ новая система рангов? - Прекрасно, понижение вам тоже понравится.• Вы не заходите в игру? - Понижение.• Вы заходите в игру? - Держите тупых тиммейтов.• Зачем? - Понижение.• Понижение? - Понижение.• Повышение? - Понижение.10/10 по шкале слива рангов.",Рекомендую
"Для начала, пожалуй, представлюсь. В данной игре я провел чуть больше 800 часов, ранг на момент написания данного обзора:Global Elite.А вот, собственно и мои мысли по этой игре:Спасибо Valve за отличную г*вноигру под названием CS:GO.Начну, пожалуй с системы рангов: всего в игре 18 рангов, которые созданы для того, чтобы разделять людей по скилу игры и, соответственно, чтобы игра шла на ровне. Чтобы поднимать этот самый ранг, вам нужно проявлять себя в игре с лучшей стороны. Никто пока что адекватно не объяснил как работает эта самая система, ибо можно спокойно проиграть 5 игр, потом выиграть одну и !sic! внезапно, получить повышение. Лично я, когда был где-то в районе беркута (один из высоких рангов в кс:го), мог спокойно проиграть около 7 игр подряд и не лишится этого ранга. Ну ладно, опустим моменты с тем, что система повышений  работает через ж*пу.Что же такое ранг в глазах среднестатистического школьника, играющего в эту игру? Всего-навсего красивая картинка, которой можно повыебываться перед друзьями в школе. Но эта самая картинка приводит к тому, что эти рукожопые школьники, вместо того, чтобы купить себе нормальную мышку с ковриком, настроить сенсу и спокойно играть матчмекинги, пока не научишься играть, качают себе читы и начинают ""нагибать"" простых смертных на своих рангах, получая повышения. Рано или поздно такие индивиды, конечно, получают заветный VAC-бан, который кстати, достоин премии “Самый ху*вый античит во вселенной”. Не верите мне? Зайдите в гугл и введите там: “Читы кс:го”. Откройте первую ссылку и, О БОЖЕ, вы найдете бесплатный, рабочий чит. Шок, не правда ли? Продолжаем.Обилие читеров в данной игре – это еще пол беды. Из-за “красивеньких понтовых картинок”, в данной игре процветает, так называемый “буст”. Это услуга, которая покупается у более опытного игрока, дабы тот быстро поднял ранг человеку, у которого психологический ранг глобал элит, а руки растут из ж*пы. В следствии этих услуг, к вам в команду может попасться этот инвалид, купивший буст. В 99% случаев этот “парень с крутой картинкой” будет в вашей команде на последнем месте с отвратительным счетом и скорее всего игра будет проиграна. Больше всего меня в этой мусорке, поражает тот факт, что люди, купившие буст до самого последнего ранга, то бишь до всемирной элиты, зачем-то после этого заходят поиграть на своем, “кровью и потом” полученном ранге. На что они надеются, до сих пор не ясно.  Что-то слишком много букв я уделил бусту, хотя читеры в этой игре гораздо более насущная проблема.Подведем итоге по ранговой системе в этой игре. Люди рвут себе ж*пу для получения звания. Кто-то хочет поднять свое ЧСВ за счет этого, кто-то хочет тыкать своим рангом в лицо другим людям и говорить о том, какой он молодец. А кто-то просто хочет играть с более адекватными и понимающими игру людьми. В любом случает все свелось к тому, что многие игроки выбирают нечестный способ получения повышения. Ранговая система убила эту игру.Пару слов о самой игре: в игре куча багов, которые Valve не фиксят уже туеву кучу времени. Зато новые сундучки с раскрашенным оружием, а так же бессмысленные и абсолютно наитупейшие, скучные операции выходят постоянно.Напоследок я могу сказать лишь одно: Valve насpать на эту игру. Они гребут с нее деньги лопатой и даже не пытаются бороться с читерами и багами.Спасибо за внимание.",Не рекомендую
"Хорошая игра, если не запускать ее)",Рекомендую
"Игра нормальная, но апнуться не могу до глобуса ни как т.к либо дауны в тиме, либо софтеры ♥♥♥♥",Рекомендую
"07.12.2018 произошло знаменательное событие – игра стала бесплатной!Очень спорное решение сделать free-2-play, хотя бы потому что игра и так замечательно продавалась. Тема читеров это самая большая заноза в CS, то что игра была платная хоть как-то сдерживало натиск малолетних криворуких детишек с ВХ.Что теперь будет? Какой поток новорегов хлынет в Steam? F2P открывает читерам просторы невиданной щедрости. Но есть и положительные моменты, комьюнити увеличивается, хлынет поток не только читеров, но и нормальных людей, тех, кому было жалко отдавать пару сотен за этот легендарный шутер. Я знаю очень много людей, которые принципиально не покупают игры, так что добро пожаловать. Вот только есть один нюанс, захотят ли адекватные новореги остаться, когда увидят сколько в этой игре читеров.Что касается тех, кто уже когда-то купил игру и получил медальку за это. Ребят, не стоит всё так воспринимать в штыки, вы купили игру когда-то давно, играли и получали удовольствие, чем вы не довольны то сейчас? Посмотрите на ТП сколько в КС медалек, сколько стоят те что продаются, там разброс от 200р до 3к, их ведь кто-то покупает, а вам просто так дали, так что не вижу тут проблем. К тому же данная медаль эксклюзивная, жаль, что продать нельзя.Немного о новом режиме королевской битвы – «Запретная зона». Лучше поздно, чем никогда. На мой взгляд режим неплохой, но вот подлагивания убивают. 16 игроков довольно мало, хотелось бы 50+, но для движка CS это нереально, так что будем довольствоваться тем что есть. Так же хотелось бы чтобы из режима убрали дронов и закупку, это сделано очень глупо и топорно, теряется вся суть королевской битвы. Турели тоже лишние. Для разнообразия поиграть можно.В целом CS будет жить всегда, сколько бы читеров тут не водилось, какие бы режимы не добавляли, как бы игра не лагала и так далее. Остаётся только смириться и надеяться на лучшее.Читайте ещё больше качественных обзоров в группеТОП ОбзорПодписывайтесь накуратора",Рекомендую
Ну если не играть то норм,Рекомендую
<3,Рекомендую
"Верните запретную зону, верните лейкНу да ладно, корень проблемы в другом: античит улучшают, а читы нет, читы продолжают работать, а античит нет, я стольк читеров на хвх серверах не встречал, сколько их щас",Не рекомендую
